,id,date,tweet,hashtags,user_id,username,name,link,urls,nlikes,nretweets,nreplies
0,1356657257774080000,2021-02-02 23:04:30,today—nodeep kaur was denied bail &amp; continues to be held in the SAME jail where she is beaten &amp; sexually assaulted. nodeep was kidnapped by police from the protest for speaking for labourer rights. it is criminal what india is doing to her.  #releasenodeepkaur,['releasenodeepkaur'],462119058,rupikaur_,rupi kaur,https://twitter.com/rupikaur_/status/1356657257774080000,[],2341,1521,53
0,1356695658674216960,2021-02-03 01:37:05,It is important that the international community stand in solidarity with the #FarmersProtest!  #IStandWithFarmers — please support the #FarmersProstests in India 🇮🇳! @LicypriyaK    https://t.co/gNU3Ga2quO,"['farmersprotest', 'istandwithfarmers', 'farmersprostests']",810585618031984640,Jamie_Margolin,Jamie Margolin,https://twitter.com/Jamie_Margolin/status/1356695658674216960,['https://amp.cnn.com/cnn/2021/02/01/asia/india-internet-cut-farmers-intl-hnk/index.html'],16848,6538,633
1,1356671844175151105,2021-02-03 00:02:28,हेलिकॉप्टर पर उड़ने वाले बेईमान ने दिल्ली की सीमाओं पर कँटीले तार लगवाए हैं ताकि ट्रैक्टर से चलने वाले किसान दिल्ली ना आ सके।  #FarmersProstests,['farmersprostests'],1052246262018334722,PrashantINCUP,Prashant Tiwari,https://twitter.com/PrashantINCUP/status/1356671844175151105,[],16,4,2
2,1356651235953139713,2021-02-02 22:40:34,#FarmersProtest: Pop icon #Rihanna reacts to internet shutdown in parts of India  #FarmersProstests #FarmBills #FarmLaws  @rihanna    https://t.co/iVZbYm3qVc,"['farmersprotest', 'rihanna', 'farmersprostests', 'farmbills', 'farmlaws']",17710740,dna,DNA,https://twitter.com/dna/status/1356651235953139713,['https://www.dnaindia.com/hollywood/report-farmers-proetst-pop-icon-rihanna-reacts-to-internet-shutdown-in-parts-of-india-2872693'],176,62,9
3,1356637250713493504,2021-02-02 21:45:00,"Government fortifies Delhi’s borders, bracing for another major street demonstration planned by farmers agitating against the country’s new agricultural laws. (📸: @ANI) #FarmersProstests   Read more:  https://t.co/rrCKT08NmR  https://t.co/u4rV0Gu0e1",['farmersprostests'],714731566828793857,BloombergQuint,BloombergQuint,https://twitter.com/BloombergQuint/status/1356637250713493504,['http://bit.ly/39DwVp1'],15,2,1
4,1356635445279432707,2021-02-02 21:37:49,The world is watching what’s happening in #India #FarmersProstests,"['india', 'farmersprostests']",52368740,rohitkhilnani,Rohit Khilnani,https://twitter.com/rohitkhilnani/status/1356635445279432707,[],66,20,3
5,1356597907118379008,2021-02-02 19:08:40,"There will be a Mahapanchayat in Jind tomorrow, I will go there: Rakesh Tikait, Bharatiya Kisan Union #FarmersProstests #FarmLaws #RakeshTikait  https://t.co/G7mvgw5qJw","['farmersprostests', 'farmlaws', 'rakeshtikait']",2262532860,NewsMobileIndia,NewsMobile,https://twitter.com/NewsMobileIndia/status/1356597907118379008,[],3,0,0
6,1356596882764517376,2021-02-02 19:04:35,😳🥺 this is matter of concern surely #FarmersProstests in the garb of 26thJan mayhem deepsiddhu mainaccused farar because of his closeness to PM HM pretty evident .Maryada Purshottam raj dharm nibhaye . Sirf ram naam japne se ram ka charitra nahi hota mandir toh imarat hai sirf,['farmersprostests'],576348125,nagma_morarji,Nagma,https://twitter.com/nagma_morarji/status/1356596882764517376,[],36,6,1
7,1356596179102883849,2021-02-02 19:01:48,A Delhi court grants bail to journalist #MandeepPuniya involved in alleged police personnel at #FarmersProstests site here.  @DeccanHerald  https://t.co/FCuiDVTFKz,"['mandeeppuniya', 'farmersprostests']",428907946,Ashtripathi13,AshishTripathi,https://twitter.com/Ashtripathi13/status/1356596179102883849,[],3,0,0
8,1356586310035595265,2021-02-02 18:22:35,#FarmersProstests #FarmersStandingFirm against  #FarmBills2020 no compensation by CentralGovt to the protesting farmers . Modi ji have some #HumanityFirst,"['farmersprostests', 'farmersstandingfirm', 'farmbills2020', 'humanityfirst']",576348125,nagma_morarji,Nagma,https://twitter.com/nagma_morarji/status/1356586310035595265,[],18,6,1
