2021-02-08 |-| 1358817123884167168 |-| 1334031055460855810 |-| JugrajpalRaja |-|  |-|  |-|  |-| #ModiSellingIndia #ModiAgainstFarmers #RSSTerrorists #BJPdestroysDemocracy #FarmersProtests #KisanAndolan #अब_क्या_बेचूं |-| https://twitter.com/JugrajpalRaja/status/1358817123884167168
2021-02-08 |-| 1358816231675944960 |-| 1225847097192091648 |-| JagguMallan |-|  |-|  |-|  |-| आंदोलनजीवी होना तो गौरव की बात है।  अडानीजीवी-अंबानीजीवी, झुठजीवी-फरेबजीवी होना है शर्म की बात! #ModiAgainstFarmers  #ModiLies |-| https://twitter.com/JagguMallan/status/1358816231675944960
2021-02-08 |-| 1358815343788122114 |-| 1036178294239109120 |-| nancy0913dc |-|  |-|  |-|  |-| This is good one 👌👌 our PM is a Camera Jivi #andolanjivi  #ModiGlobalDisaster  #ModiAgainstFarmers |-| https://twitter.com/nancy0913dc/status/1358815343788122114
2021-02-08 |-| 1358814128719101953 |-| 1026034308757250048 |-| JoonSheetal |-|  |-|  |-|  |-| 😂😂😂 Economic Professor with Faltu ka Stressgiver #Modiinrajyasabha #ModiGlobalDisaster #ModiSpeech #ModiAgainstFarmers #andolanjivi #Aandolanjeevi #Andolanjeevis |-| https://twitter.com/JoonSheetal/status/1358814128719101953
2021-02-08 |-| 1358813394866896897 |-| 3016698860 |-| pawan_jyot |-|  |-|  |-|  |-| List of dangerous parasites according to its latest definition as activists:  1. Mahatma Gandhi 2. Nelson Mandela 3. Martin Luther King Jr 4. Malala Yousafzai 5. Anna Hazare And and and 6. Narendra Modi!  #RajyaSabha #Hypocrisy #ModiAgainstFarmers |-| https://twitter.com/pawan_jyot/status/1358813394866896897
2021-02-08 |-| 1358808197654405122 |-| 3016698860 |-| pawan_jyot |-|  |-|  |-|  |-| The most illogical justification of Farmers Bill : It was recommended and supported by Congress.  Have we voted them in power? Is it the ruling party?  The rule is simple: Power for accountability.   #FarmBills2020 #ModiSpeech #ModiAgainstFarmers |-| https://twitter.com/pawan_jyot/status/1358808197654405122
2021-02-08 |-| 1358807570371125250 |-| 705597974748012544 |-| ChanduRam548 |-|  |-|  |-|  |-| I think #WestBengal elections are going to held soon. That's why he is acting like #RabindranathTagore I guess you won the best costume award @narendramodi ji. #Modiinrajyasabha #ModiAgainstFarmers #ModiInBengal #ModiKhedi  https://t.co/ERWQPwMsc3 |-| https://twitter.com/ChanduRam548/status/1358807570371125250
2021-02-08 |-| 1358806343881134085 |-| 2856197816 |-| diyashivpal |-|  |-|  |-|  |-| पहले 15 - 15 लाख जबरदस्ती दिए! फिर 2 करोड़ युवाओं को पकड़ पकड़ के रोजगार दिए! अब किसानों को जबरदस्ती करोड़पति बनाने पे तुले हैं। #FarmersProtests  #ModiAgainstFarmers  #Modiinrajyasabha  #ModiSpeech  @PMOIndia @priyankagandhi @anjanaomkashyap @ReallySwara @taapsee @KanganaTeam |-| https://twitter.com/diyashivpal/status/1358806343881134085
2021-02-08 |-| 1358804369186185216 |-| 2989275468 |-| jassimour |-|  |-|  |-|  |-| #किसान आंदोलन #विश्व का पहला आंदोलन होगा।  जहाँ आंदोलनकारी ही सावधानी रख रहे है कि कहीं #सरकार #दंगे ना करवा दें..!😄😂 #farmersrprotest #FarmersProstests #godimedia #ModiAgainstFarmers #ReleaseDetainedFarmers |-| https://twitter.com/jassimour/status/1358804369186185216
2021-02-08 |-| 1358804312034471936 |-| 66711968 |-| yuvaad |-|  |-|  |-|  |-| @PMOIndia @narendramodi Do you know what is mean by democracy means  https://t.co/34fT42isPX @narendramodi #ModiAgainstFarmers #modifails #modikillsdemocracy |-| https://twitter.com/yuvaad/status/1358804312034471936
