,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
10,1442430270150373381,1442430270150373381,1632737150000.0,2021-09-27 15:35:50,+0530,,"ਖੰਨਾ ‘ਚ ਭਾਰਤ ਬੰਦ ਦਾ ਅਸਰ, ਕਿਸਾਨਾਂ ਵੱਲੋਂ ਧਰਨਾ ਜਾਰੀ  #Khanna #KhannaNews #FarmersProtest #Farmers  #KisanAndolan #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation    https://t.co/PGRhtWwbMn",pa,"['khanna', 'khannanews', 'farmersprotest', 'farmers', 'kisanandolan', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,15,https://twitter.com/ptcnews/status/1442430270150373381,['https://youtu.be/DO4EfRV74cc'],[],0,,False,4,0,0,,#kisanektazindabad,,,,,,,[],,,,
11,1442420006591995906,1442420006591995906,1632734703000.0,2021-09-27 14:55:03,+0530,,"ਭਾਰਤ ਬੰਦ ਦਾ ਅਸਰ, ਵੱਖ-ਵੱਖ ਥਾਵਾਂ ‘ਤੇ ਲੱਗੇ ਧਰਨੇ #BharatBandhtoday #SanyuktKisanMorcha #farmersunions #BharatBandh #farmlaws #KisanAndolan #FarmersProtest #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation    https://t.co/I9UBzI2C04",pa,"['bharatbandhtoday', 'sanyuktkisanmorcha', 'farmersunions', 'bharatbandh', 'farmlaws', 'kisanandolan', 'farmersprotest', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,14,https://twitter.com/ptcnews/status/1442420006591995906,['https://youtu.be/CyoNEjxUODQ'],[],0,,False,2,0,0,,#kisanektazindabad,,,,,,,[],,,,
12,1442396783783538696,1442396783783538696,1632729166000.0,2021-09-27 13:22:46,+0530,,"ਭਾਰਤ ਬੰਦ ਨੂੰ ਪੂਰਨ ਸਮਰਥਨ, ਰੇਲ ਤੇ ਸੜਕ ਆਵਾਜਾਈ ਪ੍ਰਭਾਵਿਤ #BharatBandhtoday #SanyuktKisanMorcha #farmersunions #BharatBandh #farmlaws #KisanAndolan #FarmersProtest #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation   https://t.co/eELvEanuRv",pa,"['bharatbandhtoday', 'sanyuktkisanmorcha', 'farmersunions', 'bharatbandh', 'farmlaws', 'kisanandolan', 'farmersprotest', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,13,https://twitter.com/ptcnews/status/1442396783783538696,['https://youtu.be/ZzcSampLdAI'],[],0,,False,2,0,0,,#kisanektazindabad,,,,,,,[],,,,
13,1442396478949904385,1442396478949904385,1632729093000.0,2021-09-27 13:21:33,+0530,,"ਭਾਰਤ ਬੰਦ ਦਾ ਅਸਰ, ਦਿੱਲੀ ਬਾਰਡਰਾਂ 'ਤੇ ਲੱਗਿਆ ਕਈ ਕਿਲੋਮੀਟਰ ਲੰਬਾ ਜਾਮ  #BharatBandhtoday #SanyuktKisanMorcha #farmersunions #BharatBandh #farmlaws #KisanAndolan #FarmersProtest #FarmersBharatBandh #KisanEktaZindabad     https://t.co/BxUSMkw9zA",pa,"['bharatbandhtoday', 'sanyuktkisanmorcha', 'farmersunions', 'bharatbandh', 'farmlaws', 'kisanandolan', 'farmersprotest', 'farmersbharatbandh', 'kisanektazindabad']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,13,https://twitter.com/ptcnews/status/1442396478949904385,['https://youtu.be/mFYp48mfHUE'],[],0,,False,1,0,0,,#kisanektazindabad,,,,,,,[],,,,
14,1442391040632111104,1442391040632111104,1632727797000.0,2021-09-27 12:59:57,+0530,,"ਰੋਪੜ 'ਚ ਕਿਸਾਨਾਂ ਨੇ ਰੋਡ ਕੀਤਾ ਜਾਮ, ਮੋਦੀ ਸਰਕਾਰ ਖਿਲਾਫ ਕੀਤੀ ਨਾਅਰੇਬਾਜ਼ੀ #Ropar #Punjab #PunjabiNews #LatestNews #FarmersProtest #Farmers #KisanAndolan #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation    https://t.co/EPsJkPaFSJ",pa,"['ropar', 'punjab', 'punjabinews', 'latestnews', 'farmersprotest', 'farmers', 'kisanandolan', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,12,https://twitter.com/ptcnews/status/1442391040632111104,['https://youtu.be/5RcfTX2cMSo'],[],0,,False,1,0,0,,#kisanektazindabad,,,,,,,[],,,,
15,1442352857571680257,1442352857571680257,1632718693000.0,2021-09-27 10:28:13,+0530,,"ਮੋਗਾ: ਪੈਟਰੋਲ ਐਸੋਸੀਏਸ਼ਨ ਵੱਲੋਂ ਭਾਰਤ ਬੰਦ ਨੂੰ ਪੂਰਨ ਸਮਰਥਨ, ਜ਼ਿਲ੍ਹੇ ਦੇ 130 ਪੈਟਰੋਲ ਪੰਪ ਰਹਿਣਗੇ ਬੰਦ    #Moga #PetrolAssociation #Punjab #BharatBandhtoday #SanyuktKisanMorcha #farmersunions #BharatBandh #farmlaws #KisanAndolan #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation  https://t.co/HfPWMpfb1f",pa,"['moga', 'petrolassociation', 'punjab', 'bharatbandhtoday', 'sanyuktkisanmorcha', 'farmersunions', 'bharatbandh', 'farmlaws', 'kisanandolan', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,10,https://twitter.com/ptcnews/status/1442352857571680257,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1442352498291851264/pu/img/qorFb0A2y-reihMf.jpg,False,4,0,1,,#kisanektazindabad,,,,,,,[],,,,
16,1442350982617206791,1442350982617206791,1632718246000.0,2021-09-27 10:20:46,+0530,,"ਫਿਰੋਜ਼ਪੁਰ: ਭਾਰਤ ਬੰਦ ਦਾ ਅਸਰ, ਸਬਜ਼ੀ ਮੰਡੀ ਪੂਰਨ ਬੰਦ   #BharatBandhtoday #SanyuktKisanMorcha #farmersunions #BharatBandh #farmlaws #KisanAndolan #FarmersProtest #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation  https://t.co/zjUjhyjWub",pa,"['bharatbandhtoday', 'sanyuktkisanmorcha', 'farmersunions', 'bharatbandh', 'farmlaws', 'kisanandolan', 'farmersprotest', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,10,https://twitter.com/ptcnews/status/1442350982617206791,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1442350601317142534/pu/img/sowUmzBMZ5jj9FD4.jpg,False,2,0,2,,#kisanektazindabad,,,,,,,[],,,,
17,1442340593309401088,1442340593309401088,1632715769000.0,2021-09-27 09:39:29,+0530,,"ਭਾਰਤ ਬੰਦ ਦਾ ਅਸਰ, ਪੰਜਾਬ ਭਰ 'ਚੋਂ ਮਿਲ ਰਿਹਾ ਸਮਰਥਨ #BharatBandhtoday #SanyuktKisanMorcha #farmersunions #BharatBandh #farmlaws #KisanAndolan #FarmersProtest #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation  https://t.co/TfzYSADnJ5",pa,"['bharatbandhtoday', 'sanyuktkisanmorcha', 'farmersunions', 'bharatbandh', 'farmlaws', 'kisanandolan', 'farmersprotest', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,09,https://twitter.com/ptcnews/status/1442340593309401088,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1442340086528372736/pu/img/-34DKYFKBSQh2zuA.jpg,False,11,0,0,,#kisanektazindabad,,,,,,,[],,,,
18,1442338232054665221,1442338232054665221,1632715206000.0,2021-09-27 09:30:06,+0530,,'ਆਪ' ਵੱਲੋਂ ਕਿਸਾਨਾਂ ਦੇ ਭਾਰਤ ਬੰਦ ਦੀ ਕਾਲ ਦੀ ਹਿਮਾਇਤ   #BharatBandhtoday #SanyuktKisanMorcha #farmersunions #BharatBandh #farmlaws #KisanAndolan #FarmersProtest #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation @raghav_chadha @ArvindKejriwal  https://t.co/ruwWxwYz51,pa,"['bharatbandhtoday', 'sanyuktkisanmorcha', 'farmersunions', 'bharatbandh', 'farmlaws', 'kisanandolan', 'farmersprotest', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,09,https://twitter.com/ptcnews/status/1442338232054665221,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1442337815438659586/pu/img/3gX_OOPOAIPR6NXI.jpg,False,43,11,18,,#kisanektazindabad,,,,,,,[],,,,
19,1442337309278359554,1442337309278359554,1632714986000.0,2021-09-27 09:26:26,+0530,,"ਸ਼੍ਰੋਮਣੀ ਅਕਾਲੀ ਦਲ ਵੱਲੋਂ ਭਾਰਤ ਬੰਦ ਦੀ ਕਾਲ ਦਾ ਸਮਰਥਨ, ਲਾਈ ਵਰਕਰਾਂ ਦੀ ਡਿਊਟੀ #BharatBandhtoday #SanyuktKisanMorcha #farmersunions #BharatBandh #farmlaws #KisanAndolan #FarmersProtest #FarmersBharatBandh #KisanEktaZindabad #FarmersAgitation @Akali_Dal_ #premsinghchandumajra  https://t.co/4JUAT7M7Q7",pa,"['bharatbandhtoday', 'sanyuktkisanmorcha', 'farmersunions', 'bharatbandh', 'farmlaws', 'kisanandolan', 'farmersprotest', 'farmersbharatbandh', 'kisanektazindabad', 'farmersagitation', 'premsinghchandumajra']",[],852553470,852553470,ptcnews,ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,1,09,https://twitter.com/ptcnews/status/1442337309278359554,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1442336935368790022/pu/img/LOmBAEuRlNOnlVt1.jpg,False,1,0,1,,#kisanektazindabad,,,,,,,[],,,,
