,id,date,tweet,hashtags,user_id,username,name,link,urls,nlikes,nretweets,nreplies
0,1490043523466510337,2022-02-06 00:53:54,"""Ma, guess we can't call it a trucker 🚛 protest 🪧 no more. Them got farmer tractors 🚜 and now cowboys 🤠 too!""  ""Well, call 'em Trucker Farmer Cowboys Protest, then.""  ""They call themselves #FreedomConvoy, ma!""  ""Alrighty, then "" @GOP @GOPLeader @LeaderMcConnell @HouseGOP @DNC  https://t.co/MfPrqwtOnt",['freedomconvoy'],1199771785148993536,Heerak4Congress,Heerak Christian Kim for US Congress (Virginia-8),https://twitter.com/Heerak4Congress/status/1490043523466510337,[],0,0,0
1,1490016392158105601,2022-02-05 23:06:05,Many are asking what my position on the farmers protest in India was.I supported the Indian government's farm reform bill (am seen as a critic of the current Indian govt)but supported the famers right to protest.I support any peaceful protest whether or not I agree with the cause,[],151432737,rupasubramanya,Rupa Subramanya,https://twitter.com/rupasubramanya/status/1490016392158105601,[],464,46,10
2,1490014780312231939,2022-02-05 22:59:41,"By this logic, why did @JustinTrudeau comment and support the farmers protests in India urging the Indian government to engage in dialogue. It was a strictly domestic Indian matter. Sorry but you can't have it both ways. 🙂",[],151432737,rupasubramanya,Rupa Subramanya,https://twitter.com/rupasubramanya/status/1490014780312231939,[],4426,1109,192
3,1489994611644780544,2022-02-05 21:39:32,"Rahul Gandhi ji also asked for compensation for farmers who had died during the protests, which ultimately the Govt had to act on.  #RahulTheNextPM",['rahulthenextpm'],1066289611725553664,SevadalWB,West Bengal Congress Sevadal,https://twitter.com/SevadalWB/status/1489994611644780544,[],19,12,2
4,1489972927470903306,2022-02-05 20:13:22,"This budget promotes India's commitment towards a green future in every sector, he says #NarendraModi @narendramodi #FarmersProtest   https://t.co/LdQnS5BH2R","['narendramodi', 'farmersprotest']",141080858,ttindia,The Telegraph,https://twitter.com/ttindia/status/1489972927470903306,['https://www.telegraphindia.com/india/natural-farming-digital-agriculture-safeguard-farmers-against-climate-challenge-pm-modi/cid/1850689?utm_source=twitter&utm_medium=social&utm_campaign=tt_daily_twit'],7,0,2
5,1489969221517856775,2022-02-05 19:58:39,"@SanchoTas Oh please! They speak for a tiny percentage of farmers and truckers; the real guys are too busy farming and trucking. I've seen people from my neighbourhood, urban Toronto, going to the protest. Don't kid a kidder.",[],27013347,michaelcoren,Reverend Michael Coren,https://twitter.com/michaelcoren/status/1489969221517856775,[],7,0,0
6,1489953203063951368,2022-02-05 18:55:00,#RahulGandhi targets #PMModi on #FarmersProtest    https://t.co/W4SDw0iiiw,"['rahulgandhi', 'pmmodi', 'farmersprotest']",18071358,ZeeNewsEnglish,Zee News English,https://twitter.com/ZeeNewsEnglish/status/1489953203063951368,['https://zeenews.india.com/india/india-now-has-a-king-who-believes-rahul-gandhi-targets-pm-narendra-modi-on-year-long-farmers-protest-2433744.html'],8,0,2
7,1489946920541851648,2022-02-05 18:30:02,Hundreds of farmers in Greece drive their tractors down a highway to protest rising energy costs and a lack of govt support  https://t.co/WwEDrXKymU,[],804605049859145728,TRTWorldNow,TRT World Now,https://twitter.com/TRTWorldNow/status/1489946920541851648,[],21,10,0
8,1489937802297249792,2022-02-05 17:53:48,#FarmersProtest  @ANI @PTI_News @ANINewsUP @dr_anilchaudhry @anjanaomkashyap @bstvlive @ABPNews @News18UP @ndtv @meelrajaram @DDNational,['farmersprotest'],986178852,OfficialBKU,Bhartiya kisan Union,https://twitter.com/OfficialBKU/status/1489937802297249792,[],144,37,7
9,1489923044147666944,2022-02-05 16:55:09,Greek farmers stage tractor protest against soaring energy costs  https://t.co/j9VkZr4BXE  https://t.co/TW18vcl3or,[],186933748,baphometx,George Roussos,https://twitter.com/baphometx/status/1489923044147666944,['https://www.reuters.com/world/europe/greek-farmers-stage-tractor-protest-against-soaring-energy-costs-2022-02-04/?taid=61fdd0c12bf4140001139024&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter'],0,1,0
10,1489922241945292801,2022-02-05 16:51:58,"कल दोपहर 2 बजे संयुक्त किसान मोर्चा भगवान पैलेस बेगमपुल मेरठ में प्रेस वार्ता करेगा। प्रेस को किसान नेता राकेश टिकैत, जगजीत सिंह डल्लेवाल, हन्नान मोल्ला,योगेंद्र यादव सहित कई किसान नेता संबोधित करेंगे #FarmersProtest  @AU_MeerutNews @AmarUjalaNews @Live_Hindustan @bstvlive",['farmersprotest'],987656094607589376,Dmalikbku,Dharmendra Malik,https://twitter.com/Dmalikbku/status/1489922241945292801,[],781,214,53
11,1489907525101056000,2022-02-05 15:53:29,Data on people who died due to oxygen shortage during covid? No. Data on farmers deaths during the protests? No. migrant crisis deaths? No. But data on the number of divorces due to traffic jams...yes 😭,[],1054673619047993345,tanishka_s2,Tanishka Sodhi,https://twitter.com/tanishka_s2/status/1489907525101056000,[],36,11,0
12,1489893343651893248,2022-02-05 14:57:08,"📍Northern state farmers are scheduled to begin a comprehensive state shutdown, including a moratorium on government fees, on Sunday to protest rising electricity prices and the authorities' failure to supply them with fertilizer. #SudanCoup  #مليونية7فبراير","['sudancoup', 'مليونية7فبراير']",748786046,Moh_Gamea,Mohamed Mustafa,https://twitter.com/Moh_Gamea/status/1489893343651893248,[],36,19,0
13,1489876560962281472,2022-02-05 13:50:27,Farmers fear 'ruination' and major job losses as they protest at Stormont    https://t.co/wYMYmoWf1b,[],52369691,impartialrep,The Impartial Reporter,https://twitter.com/impartialrep/status/1489876560962281472,['https://www.impartialreporter.com/news/19896820.farmers-fear-ruination-major-job-losses-protest-stormont/?ref=twtrec'],0,1,0
14,1489868188703948800,2022-02-05 13:17:11,Modi government reveals when panel for #MSP law would be formed 👇  #NarendraModi #FarmersProtest  https://t.co/ExszjLYi6K,"['msp', 'narendramodi', 'farmersprotest']",896740409346371584,editorji,Editorji,https://twitter.com/editorji/status/1489868188703948800,[],3,0,0
15,1489862225867120644,2022-02-05 12:53:29,"पंजाब में कितने किसान संगठन लड़ रहे हैं चुनाव, संयुक्त समाज मोर्चे का चिह्न कैसे बनी चारपाई? #punjabassemblyelection2022 #news #politics #farmer #farmersprotest #संगठन #किसानआंदोलन #राजनीति #punjab #punjabi #electioncommission  https://t.co/7fPOK7DlSS","['punjabassemblyelection2022', 'news', 'politics', 'farmer', 'farmersprotest', 'संगठन', 'किसानआंदोलन', 'राजनीति', 'punjab', 'punjabi', 'electioncommission']",18186549,oneindiaHindi,Oneindia Hindi,https://twitter.com/oneindiaHindi/status/1489862225867120644,['https://hindi.oneindia.com/news/punjab/kisan-sanyukt-samaj-morcha-election-symbol-how-many-farmers-union-punjab-chunav-662450.html'],0,1,0
16,1489859428459286532,2022-02-05 12:42:22,"GoFundMe has frozen $9 million of donations to Canadian truckers &amp; removed campaign due to violence, unlawful activity &amp; said 'peaceful protest has become occupation'  Violence, occupation, unlawful activity reported in farmers' protest too but GoFundMe didn't remove any campaign  https://t.co/7d61xOhZcT",[],318673863,AskAnshul,Anshul Saxena,https://twitter.com/AskAnshul/status/1489859428459286532,[],6550,2186,80
17,1489841793286144000,2022-02-05 11:32:18,Son of farmer killed in Lakhimpur violence says will contest next LS poll against Teni   https://t.co/j9L1YWattt #FarmersProtest,['farmersprotest'],18159588,Oneindia,Oneindia News,https://twitter.com/Oneindia/status/1489841793286144000,['http://www.oneindia.com/india/son-of-farmer-killed-in-lakhimpur-violence-says-will-contest-next-ls-poll-against-teni-3367697.html'],0,0,0
18,1489836919441825797,2022-02-05 11:12:56,"READ: Sikh bodies, farmer groups to protest against Kejriwal, Modi and Shah   https://t.co/nNeLD0tAqk",[],1252141918231748608,iepunjab,Express Punjab,https://twitter.com/iepunjab/status/1489836919441825797,['https://indianexpress.com/article/cities/chandigarh/sikh-bodies-farmer-groups-to-protest-against-kejriwal-modi-and-shah-7757704/'],0,0,0
19,1489835188398223361,2022-02-05 11:06:03,"""भाईचारे को बिगाड़ने की पुरानी तरकीबें अब काम नहीं करेंगी।""  पश्चिम बंगाल के प्रतिष्ठित गणशक्ति अख़बार में मेरा वक्तव्य  #FarmersProtest  @Kisanektamorcha @sakshijoshii @PMishra_Journo @abhisar_sharma @ppbajpai @OfficialBKU  https://t.co/DlnDw3FGwg",['farmersprotest'],831948775165923330,RakeshTikaitBKU,Rakesh Tikait,https://twitter.com/RakeshTikaitBKU/status/1489835188398223361,[],2303,478,90
0,1489894960224559104,2022-02-05 15:03:34,2024 പൊതു തിരഞ്ഞെടുപ്പില്‍ അജയ് മിശ്രയെ ലഖിംപൂര്‍ ഖേരിയില്‍ നേരിടും; വെല്ലുവിളിച്ച് കര്‍ഷകന്റെ മകന്‍ #uttarakhandassemblyelection2022 #uttarpradesh #farmer #farmerprotest  https://t.co/JgIR7taDuM,"['uttarakhandassemblyelection2022', 'uttarpradesh', 'farmer', 'farmerprotest']",18186688,thatsMalayalam,OneIndia Malayalam,https://twitter.com/thatsMalayalam/status/1489894960224559104,['https://malayalam.oneindia.com/news/india/son-of-killed-farmer-says-he-will-contest-lakhimpur-kheri-2024-general-election-against-ajay-mishra-325511.html'],0,0,0
