,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1414936435799515145,1414936435799515145,1626182109000.0,2021-07-13 18:45:09,+0530,,#deliberative #toolkit #bestpractice,und,"['deliberative', 'toolkit', 'bestpractice']",[],23456307,23456307,IpsosUK,Ipsos UK,2,18,https://twitter.com/IpsosUK/status/1414936435799515145,[],[],0,,False,1,0,1,https://twitter.com/KellyIpsosUK/status/1414933967560654849,#toolkit,,,,,,,[],,,,
1,1414936398709370881,1414936398709370881,1626182100000.0,2021-07-13 18:45:00,+0530,,This #Toolkit is to be circulated among all English #soccer fans for the next 55 years.The purpose is to restore #Britain’s place in the world as a melting pot of multiculturism &amp; not a country where the pot calls the kettle black. By Satish Padmanabhan  https://t.co/a6vibBpRKE,en,"['toolkit', 'soccer', 'britain']",[],22763833,22763833,Outlookindia,Outlook Magazine,2,18,https://twitter.com/Outlookindia/status/1414936398709370881,['https://www.outlookindia.com/website/story/opinion-definitive-guide-on-how-to-muzzle-fanatic-followers-of-the-game/388005'],[],0,,False,0,1,0,,#toolkit,,,,,,,[],,,,
2,1414891099823476736,1414891099823476736,1626171300000.0,2021-07-13 15:45:00,+0530,,This #Toolkit is to be circulated among all English #soccer fans for the next 55 years.The purpose is to restore #Britain’s place in the world as a melting pot of multiculturism &amp; not a country where the pot calls the kettle black. By Satish Padmanabhan  https://t.co/a6vibBpRKE,en,"['toolkit', 'soccer', 'britain']",[],22763833,22763833,Outlookindia,Outlook Magazine,2,15,https://twitter.com/Outlookindia/status/1414891099823476736,['https://www.outlookindia.com/website/story/opinion-definitive-guide-on-how-to-muzzle-fanatic-followers-of-the-game/388005'],[],0,,False,0,1,0,,#toolkit,,,,,,,[],,,,
3,1414850387962523650,1414850387962523650,1626161593000.0,2021-07-13 13:03:13,+0530,,This #Toolkit is to be circulated among all English #soccer fans for the next 55 years. The purpose is to restore #Britain’s place in the world as a melting pot of multiculturism &amp; not a country where the pot calls the kettle black. By Satish Padmanabhan  https://t.co/a6vibB8gm4,en,"['toolkit', 'soccer', 'britain']",[],22763833,22763833,Outlookindia,Outlook Magazine,2,13,https://twitter.com/Outlookindia/status/1414850387962523650,['https://www.outlookindia.com/website/story/opinion-definitive-guide-on-how-to-muzzle-fanatic-followers-of-the-game/388005'],[],0,,False,1,0,0,,#toolkit,,,,,,,[],,,,
