,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1484141847710941185,1484141847710941185,1642681965000.0,2022-01-20 18:02:45,+0530,,"किसान अब इस अहंकारी सरकार को इसी की भाषा में जवाब देने के लिए तैयार है।   इस भाजपा सरकार को सिर्फ वोट की भाषा समझ आती है तो अब किसान अपने ""मिशन उत्तर प्रदेश"" से भाजपा की भाषा में ही उसको जवाब देगा।  @aviksahaindia | #farmerprotest  #MissionUttarPradesh  https://t.co/VHk6t8oRNg",hi,"['farmerprotest', 'missionuttarpradesh']",[],782439160388972544,782439160388972544,_SwarajIndia,Swaraj India,4,18,https://twitter.com/_SwarajIndia/status/1484141847710941185,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1484141785454907394/pu/img/FboYuyaVCI1RTLxr.jpg,False,13,0,6,,#farmerprotest,,,,,,,[],,,,
1,1484121409714794500,1484121409714794500,1642677092000.0,2022-01-20 16:41:32,+0530,,"किसान अब इस अहंकारी सरकार को इसी की भाषा में जवाब देने के लिए तैयार है।   इस भाजपा सरकार को सिर्फ वोट की भाषा समझ आती है तो अब किसान अपने ""मिशन उत्तर प्रदेश"" से भाजपा की भाषा में ही उसको जवाब देगा।  #farmerprotest | #MissionUttarPradesh  https://t.co/ezIUTPDOxY",hi,"['farmerprotest', 'missionuttarpradesh']",[],886647512,886647512,aviksahaindia,Avik Saha,4,16,https://twitter.com/aviksahaindia/status/1484121409714794500,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1484121353020395525/pu/img/HOuv_Bk2NV_Slo-6.jpg,False,18,1,15,,#farmerprotest,,,,,,,[],,,,
2,1484112373497868291,1484112373497868291,1642674937000.0,2022-01-20 16:05:37,+0530,,"किसान अब इस अहंकारी सरकार को इसी की भाषा में जवाब देने के लिए तैयार है।   इस भाजपा सरकार को सिर्फ वोट की भाषा समझ आती है तो अब किसान अपने ""मिशन उत्तर प्रदेश"" से भाजपा की भाषा में ही उसको जवाब देगा।  @aviksahaindia | #farmerprotest  #MissionUttarPradesh  https://t.co/GRYdSFXnoB",hi,"['farmerprotest', 'missionuttarpradesh']",[],3132907921,3132907921,swaraj_abhiyan,Swaraj Abhiyan,4,16,https://twitter.com/swaraj_abhiyan/status/1484112373497868291,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1484112312558821377/pu/img/MyTg-F2MFDHIHfpC.jpg,False,4,0,3,,#farmerprotest,,,,,,,[],,,,
3,1484041108732936194,1484041108732936194,1642657947000.0,2022-01-20 11:22:27,+0530,,"To protest against this betrayal of the farmers, the SKM has decided that on 31st Jan,Day of Betrayal will be observed across the country and large protest demonstrations will be organized at the district and block levels.  @_YogendraYadav | #farmerprotest  https://t.co/a2I4xn3nY8",en,['farmerprotest'],[],3132907921,3132907921,swaraj_abhiyan,Swaraj Abhiyan,4,11,https://twitter.com/swaraj_abhiyan/status/1484041108732936194,['https://gaurilankeshnews.com/skm-to-observe-nationwide-day-of-betrayal-on-31-january/'],[],0,,False,4,0,4,,#farmerprotest,,,,,,,[],,,,
