,id,date,tweet,hashtags,user_id,username,name,link,urls,nlikes,nretweets,nreplies
0,1360216958277308419,2021-02-12 18:49:29,#ModiAgainstFarmers #FarmLaws2020 #CPIMAP #FarmersProtest #విశాఖ_స్టీల్_ప్లాంట్  https://t.co/9TBGibDlsI,"['modiagainstfarmers', 'farmlaws2020', 'cpimap', 'farmersprotest', 'విశాఖ_స్టీల్_ప్లాంట్']",3007968044,apcpim,CPI(M)AP,https://twitter.com/apcpim/status/1360216958277308419,[],12,3,1
0,1360333820197629953,2021-02-13 02:33:51,While I lay here in my comfortable bed. I wonder what the farmers fighting for their rights must be feeling out there on the borders. I can’t believe they are still not heard.. It breaks my heart and angers me at the same time.. why just why. #IStandWithFarmers,['istandwithfarmers'],102798511,Mandy_Takhar,Mandy Takhar,https://twitter.com/Mandy_Takhar/status/1360333820197629953,[],6488,1277,70
0,1360053511795462148,2021-02-12 08:00:00,কৃষি বিলের সত্যি কি? কেন কৃষকেরা করছেন আন্দোলন? জানতে চান? দেখে নিন এই ভিডিওটি! #FarmBill #FarmerProtest #BengalRejectsBJP  https://t.co/ic5qaHWzUe,"['farmbill', 'farmerprotest', 'bengalrejectsbjp']",1144646272084611072,BanglarGorboMB,Banglar Gorbo Mamata,https://twitter.com/BanglarGorboMB/status/1360053511795462148,[],120,64,5
0,1360246169293656072,2021-02-12 20:45:33,"Farmer-dominated Hanumangarh and Sri Ganganagar districts of #Rajasthan where #RahulGandhi addressed kisan #mahapanchayat today share a border with #Punjab, where farmers are up in the arms against the Centre's agriculture laws   https://t.co/buu6zGcOMJ","['rajasthan', 'rahulgandhi', 'mahapanchayat', 'punjab']",256495314,firstpost,Firstpost,https://twitter.com/firstpost/status/1360246169293656072,['http://www.firstpost.com/politics/rahul-gandhi-addresses-farmers-rallies-in-rajasthan-to-visit-ajmer-and-nagaur-districts-tomorrow-9298041.html'],11,0,3
1,1360236052624011270,2021-02-12 20:05:21,"‘Farmers Will Go Home Only After Centre Repeals Farm Laws,’ Says BKU Leader Rakesh Tikait  https://t.co/3KGeiQePdB #BKU #Farmers #FarmersProstests #RakeshTikait #Mahapanchayat @RakeshTikaitBKU @IndianFarmers_","['bku', 'farmers', 'farmersprostests', 'rakeshtikait', 'mahapanchayat']",828841083257778176,latestly,LatestLY,https://twitter.com/latestly/status/1360236052624011270,['https://www.latestly.com/agency-news/india-news-farmers-will-go-home-only-after-centre-repeals-farm-laws-says-tikait-2318360.html'],0,1,0
2,1360228646447816704,2021-02-12 19:35:55,"Narendra Modi threatens farmers but cannot stand up to China, says Rahul Gandhi at #Mahapanchayat   https://t.co/2nQg2gYYk5",['mahapanchayat'],414946220,scroll_in,scroll.in,https://twitter.com/scroll_in/status/1360228646447816704,['https://scroll.in/latest/986745/narendra-modi-threatens-farmers-but-cannot-stand-up-to-china-says-rahul-gandhi-at-mahapanchayat'],47,7,1
3,1360223139096010752,2021-02-12 19:14:02,"#RahulGandhi addressed the #Mahapanchayat in Pilibanga, #Rajasthan on Friday where he attacked the government by advocating the cause of the #farmers' movement.  https://t.co/7kj4VSXvI5","['rahulgandhi', 'mahapanchayat', 'rajasthan', 'farmers']",854614125003014144,themojostory,Mojo Story,https://twitter.com/themojostory/status/1360223139096010752,['https://www.youtube.com/watch?v=llzmq89hv4w&feature=youtu.be'],7,1,1
4,1360178993866002436,2021-02-12 16:18:37,"Shri Rahul Gandhi attended #kisan #mahapanchayat at Kisan Upaj Mandi, Padampur, District Sri Ganganagar.  #RahulGandhiExposesBJP  https://t.co/PT7vpTBbXu","['kisan', 'mahapanchayat', 'rahulgandhiexposesbjp']",471489217,INCWestBengal,West Bengal Congress,https://twitter.com/INCWestBengal/status/1360178993866002436,[],89,25,1
5,1360172151278497793,2021-02-12 15:51:26,"#FarmersProtests | @INCIndia leader @RahulGandhi on Friday accused Prime Minister @narendramodi of trying to clear the path for his ""friends"" through the Centre's new agri laws.  #FarmLaws #Mahapanchayat  Here's what he said:    https://t.co/3gBEGlxFOB","['farmersprotests', 'farmlaws', 'mahapanchayat']",22763833,Outlookindia,Outlook Magazine,https://twitter.com/Outlookindia/status/1360172151278497793,['https://www.outlookindia.com/website/story/india-news-pm-modi-wants-to-clear-path-for-his-friends-through-farm-laws-rahul-gandhi/374029'],2,0,0
0,1360329318296133638,2021-02-13 02:15:57,UFCW Canada proudly stands in support of #Kissans and farm workers across India in their call for sustainable and equitable agricultural laws that promote food security and workers' rights in the country.  #NoFarmersNoFood #FarmersProtest #UFCW,"['kissans', 'nofarmersnofood', 'farmersprotest', 'ufcw']",90703007,UFCWCanada,UFCW Canada,https://twitter.com/UFCWCanada/status/1360329318296133638,[],18,13,5
