,id,date,tweet,hashtags,user_id,username,name,link,urls,nlikes,nretweets,nreplies
0,1357478225014738944,2021-02-05 05:26:44,@LicypriyaK Come out give your voice for the farmers. You are the icon of nation. Stand with the poor #farmers #NoFarmersNoFood,"['farmers', 'nofarmersnofood']",895610013493862400,MdKabirAhamad,Md Kabir Ahamad,https://twitter.com/MdKabirAhamad/status/1357478225014738944,[],2,1,0
0,1357387192130174978,2021-02-04 23:25:00,India seeks assistance from US Justice Department to probe 'Sikhs For Justice' - a US based #Khalistani secessionist group. The group was banned by the Indian government in 2019 with cases registered against it by Delhi Police and the NIA. @alysonle speaks with @sidhant for more  https://t.co/UhEK1jJBLq,['khalistani'],711760467383877632,WIONews,WION,https://twitter.com/WIONews/status/1357387192130174978,[],127,37,2
1,1357341742891081737,2021-02-04 20:24:24,"Nobody else but they themselves say that they r  #Khalistani’s  Attacking Red Fort, abuse d national flag &amp; molest women constables is a job of a terrorist and not a Sikh .  D real Sikh is our protector.  Ur criminal silence on their attack on India’s sovereignty is also sad.",['khalistani'],106081433,ashokepandit,Ashoke Pandit,https://twitter.com/ashokepandit/status/1357341742891081737,[],360,86,15
2,1357312733838888960,2021-02-04 18:29:08,"#DelhiPolice expose #Khalistani role in pre-planned #RepublicDayViolence with a widely shared online #toolkit. Now watch some journos, TV channels &amp; news sites attempt to discredit the investigation #FarmersProtest","['delhipolice', 'khalistani', 'republicdayviolence', 'toolkit', 'farmersprotest']",18373968,MinhazMerchant,Minhaz Merchant,https://twitter.com/MinhazMerchant/status/1357312733838888960,[],2245,667,32
3,1357220596606672898,2021-02-04 12:23:00,Thread👇Meant especially for the noxious breed of Indian journos who constantly downplay the #Khalistani angle in #FarmersProtest,"['khalistani', 'farmersprotest']",18373968,MinhazMerchant,Minhaz Merchant,https://twitter.com/MinhazMerchant/status/1357220596606672898,[],132,53,6
0,1357316595748462595,2021-02-04 18:44:28,✊🏽✊🏽✊🏽 Love and immense respect for u @taapsee for always speaking up for what is right and not becoming a #propagandaPuppet like many from our industry . #PropagandaAgainstFarmers #worldWithFarmers #IStandWithFarmers,"['propagandapuppet', 'propagandaagainstfarmers', 'worldwithfarmers', 'istandwithfarmers']",68138422,IamOnir,iamOnir,https://twitter.com/IamOnir/status/1357316595748462595,[],25,4,0
1,1357313311965020161,2021-02-04 18:31:25,Double standards of Bhakts is spectacular.most of them suffer frm amnesia. they actively commented on #BlackLivesMatter &amp; Trump .Then it was not America’s internal matter and now suddenly hyper  sensitive about India’s image! farmer Deaths don’t tarnish that! #worldWithFarmers,"['blacklivesmatter', 'worldwithfarmers']",68138422,IamOnir,iamOnir,https://twitter.com/IamOnir/status/1357313311965020161,[],41,15,2
2,1357289351672041474,2021-02-04 16:56:13,Sending Love from India. #worldWithFarmers #IStandWithFarmers #KisanAndolan,"['worldwithfarmers', 'istandwithfarmers', 'kisanandolan']",68138422,IamOnir,iamOnir,https://twitter.com/IamOnir/status/1357289351672041474,[],21,4,0
3,1357274458256408577,2021-02-04 15:57:02,#Respect #worldWithFarmers,"['respect', 'worldwithfarmers']",68138422,IamOnir,iamOnir,https://twitter.com/IamOnir/status/1357274458256408577,[],22,2,1
4,1357176500563378182,2021-02-04 09:27:47,Our farmers keep our flag flying high . #worldWithFarmers #framerswithNatio #KisanAandolan #FarmersProtest ❤️🇮🇳❤️,"['worldwithfarmers', 'framerswithnatio', 'kisanaandolan', 'farmersprotest']",68138422,IamOnir,iamOnir,https://twitter.com/IamOnir/status/1357176500563378182,[],16,2,0
