,id,date,tweet,hashtags,user_id,username,name,link,urls,nlikes,nretweets,nreplies
0,1354185158916780035,2021-01-27 03:21:16,Scenes from New Delhi as a #Khalistani mob attacks the Red Fort on the solemn occasion of India's Republic Day.  Those who condemned the #CapitolHillRiots in US are silent as the Indian Flag is desecrated.   https://t.co/0g2MCcP4Qw,"['khalistani', 'capitolhillriots']",17537467,TarekFatah,Tarek Fatah,https://twitter.com/TarekFatah/status/1354185158916780035,[],2058,742,123
1,1354104960057712640,2021-01-26 22:02:35,"These traitors masquerading as farmers 2wks ago, #Khalistani outfit #SikhsforJustice (SFJ) had announced a reward of USD 2.5 lakh for those who will hoist a #Khalistaniflag on d #RedFort on Republic Day. Hope our powerful #SC is watching.Traitors ve exposed themselves to d world.  https://t.co/WHF8CdmQEH","['khalistani', 'sikhsforjustice', 'khalistaniflag', 'redfort', 'sc']",106081433,ashokepandit,Ashoke Pandit,https://twitter.com/ashokepandit/status/1354104960057712640,[],299,80,10
2,1354087718016475141,2021-01-26 20:54:04,Shame on you Rajdeep. You look like  an officiall Spokesperson of #Khalistani and rioters.   Check what is written on the bracelet (हाथ का कड़ा) of person sitting near dead farmer.   We request @PIB_India to withdraw your PIB card/registration.  https://t.co/cVZnRP7kj3,['khalistani'],353225707,SharmaKhemchand,khemchand sharma #Brajwasi #RadheRadhe,https://twitter.com/SharmaKhemchand/status/1354087718016475141,[],44,31,1
3,1354085950100545537,2021-01-26 20:47:02,"#Khalistani , @INCIndia , @AamAadmiParty &amp; fake farmer's leaders like Yogendra Yadav and #Tikait are responsible for discrediting out national flag and attacks on security forces.   We request a strong action against them.","['khalistani', 'tikait']",353225707,SharmaKhemchand,khemchand sharma #Brajwasi #RadheRadhe,https://twitter.com/SharmaKhemchand/status/1354085950100545537,[],60,26,5
4,1354069459728699393,2021-01-26 19:41:31,"Her son came home draped in the tricolour, the same tricolour the #khalistani pawns desecrated today.",['khalistani'],1934388686,ShefVaidya,Shefali Vaidya. 🇮🇳,https://twitter.com/ShefVaidya/status/1354069459728699393,[],1233,280,19
5,1354030893145313280,2021-01-26 17:08:16,"They are not Farmers, they are #Khalistani terrorists!  If you support them it you are a terrorist too!  They hoisted Khalistani flag, no more mercy. They are enemies of the nation.  @HMOIndia you are full backing of the nation. Crush them  Fcuk #FarmersProtest","['khalistani', 'farmersprotest']",81582883,arunpudur,Arun 🇮🇳,https://twitter.com/arunpudur/status/1354030893145313280,[],171,57,6
6,1354021994807795719,2021-01-26 16:32:54,Arrest these #Khalistani Terrorists now   https://t.co/IBMmNGlSRi,['khalistani'],81582883,arunpudur,Arun 🇮🇳,https://twitter.com/arunpudur/status/1354021994807795719,[],90,35,8
7,1354021157620469767,2021-01-26 16:29:35,This is murder! Using India flag while he is #Khalistani terrorist!  Need more proof?   Fake #FarmersProtests  https://t.co/WGChMkxLcU,"['khalistani', 'farmersprotests']",81582883,arunpudur,Arun 🇮🇳,https://twitter.com/arunpudur/status/1354021157620469767,[],457,187,26
8,1354020417925615617,2021-01-26 16:26:38,अब बोलूँगा #Khalistani हो ।,['khalistani'],2638009812,HariManjhi,हरि मांझी,https://twitter.com/HariManjhi/status/1354020417925615617,[],1019,174,20
0,1354136632451084289,2021-01-27 00:08:26,"Yeh video dekh kar Jallian wala bagh yaad aagaya, tab angrez ki goliyo se bachne nihate Hindustani kuwe mein kud gaye the aur aaj #KhalistaniTerrorists se bachne hamare police officers aur CRPF jawan kud gaye 💔💔💔  https://t.co/9UeftvMJki",['khalistaniterrorists'],87643561,Rajput_Ramesh,Ramesh Solanki🇮🇳,https://twitter.com/Rajput_Ramesh/status/1354136632451084289,[],1021,429,31
1,1354128695129210883,2021-01-26 23:36:54,"The term "" annadaata "" lost its meaning and value today 😔😔😔 #KhalistaniTerrorists",['khalistaniterrorists'],87643561,Rajput_Ramesh,Ramesh Solanki🇮🇳,https://twitter.com/Rajput_Ramesh/status/1354128695129210883,[],3470,743,76
