,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1326532048614387720,1326531474506481665,1605104860000.0,2020-11-11 19:57:40,+0530,,The committee said that effigies of the central government and corporate houses will be burnt on November 14. The Rail Roko movement has been extended till 21 November.  #farmersprotest  #kalidiwali  #farmbills,en,"['farmersprotest', 'kalidiwali', 'farmbills']",[],2264849412,2264849412,LogicalIndians,The Logical Indian,3,19,https://twitter.com/LogicalIndians/status/1326532048614387720,[],[],0,,False,0,0,0,,#farmersprotest,,,,,,,[],,,,
1,1326499560001216514,1326499560001216514,1605097114000.0,2020-11-11 17:48:34,+0530,,"Punjab's protesting farmers have given a call to observe 12th November as “Solidarity Day” against ""Repression on Punjab Peasantry"". They will be sending one lakh Emails to President of India demanding resumption of goods trains to Punjab. #FarmersProtest",en,['farmersprotest'],[],749638460,749638460,ChitleenKSethi,Chitleen K Sethi,3,17,https://twitter.com/ChitleenKSethi/status/1326499560001216514,[],[],0,,False,84,3,36,,#farmersprotest,,,,,,,[],,,,
2,1326419013493272579,1326419013493272579,1605077911000.0,2020-11-11 12:28:31,+0530,,"Nagpur | कृषी कायद्याविरोधात स्वभिमानी शेतकरी संघटनेचा नागपुरात एल्गार, आंदोलक पोलिसांच्या ताब्यात  https://t.co/1T1s8W9gM1 @rajushetti @OfficeofUT @NagpurPolice @Dev_Fadnavis #FarmersProtest",mr,['farmersprotest'],[],3360174258,3360174258,TV9Marathi,TV9 Marathi,3,12,https://twitter.com/TV9Marathi/status/1326419013493272579,['https://www.tv9marathi.com/videos/nagpur-swabhimani-shetkari-sanghatna-protest-nagpur-police-arrest-protester'],[],0,,False,12,0,0,,#farmersprotest,,,,,,,[],,,,
3,1326417444303474688,1326417444303474688,1605077537000.0,2020-11-11 12:22:17,+0530,,Nagpur | कृषी कायदा रद्द करण्याच्या मागणीसाठी नागपुरात स्वभिमानी शेतकरी संघटनेचे आंदोलन  https://t.co/EsJdoRQ0Lv @rajushetti @Dev_Fadnavis @nitin_gadkari @BJP4Maharashtra #FarmersProtest,mr,['farmersprotest'],[],3360174258,3360174258,TV9Marathi,TV9 Marathi,3,12,https://twitter.com/TV9Marathi/status/1326417444303474688,['https://www.tv9marathi.com/videos/nagpur-swabhimani-shetkari-sanghatna-agitation-against-centers-agri-law'],[],0,,False,19,4,0,,#farmersprotest,,,,,,,[],,,,
4,1326413452957642752,1326413452957642752,1605076585000.0,2020-11-11 12:06:25,+0530,,VIDEO | कृषी कायदा रद्द करण्याच्या मागणीसाठी स्वभिमानी शेतकरी संघटनेचे तुरकरांच्या नेतृत्वात आंदोलन सुरु   https://t.co/d16rylX1Wr @rajushetti @nitin_gadkari @BJP4Maharashtra #FarmersProtest,mr,['farmersprotest'],[],3360174258,3360174258,TV9Marathi,TV9 Marathi,3,12,https://twitter.com/TV9Marathi/status/1326413452957642752,['https://www.tv9marathi.com/videos/swabhimani-shetkari-sanghatna-agitation-in-nagpur'],[],0,,False,9,2,0,,#farmersprotest,,,,,,,[],,,,
